robot_count,completed_tasks,total_completion_time,average_task_completion_time,throughput,robot_utilization,average_waiting_time,total_distance,blocked_waiting_count,replication,seed
2,100,998,450.49,0.10020040080160321,0.9874749498997996,0.0,1971,0,1,1000
2,100,1029,482.96,0.09718172983479106,0.988824101068999,0.0,2035,0,2,1001
2,100,1021,428.97,0.0979431929480901,0.9833496571988247,0.0,2008,0,3,1002
2,100,974,430.47,0.1026694045174538,0.9881930184804928,0.0,1925,0,4,1003
2,100,1017,450.28,0.09832841691248771,0.9960668633235005,0.0,2026,0,5,1004
2,100,1001,434.67,0.0999000999000999,0.996003996003996,0.0,1994,0,6,1005
2,100,910,383.33,0.10989010989010989,0.9950549450549451,0.0,1811,0,7,1006
2,100,956,410.44,0.10460251046025104,0.9932008368200836,0.0,1899,0,8,1007
2,100,951,434.65,0.10515247108307045,0.9894847528916929,0.0,1882,0,9,1008
2,100,974,444.23,0.1026694045174538,0.9969199178644764,0.0,1942,0,10,1009
2,100,1042,454.99,0.09596928982725528,0.991362763915547,0.0,2066,0,11,1010
2,100,1014,435.03,0.09861932938856016,0.9921104536489151,0.0,2012,0,12,1011
2,100,1048,455.8,0.09541984732824428,0.9928435114503816,0.0,2081,0,13,1012
2,100,1016,429.38,0.0984251968503937,0.9906496062992126,0.0,2013,0,14,1013
2,100,1021,434.34,0.0979431929480901,0.9872673849167483,0.0,2016,0,15,1014
2,100,1011,444.84,0.09891196834817013,0.9970326409495549,0.0,2016,0,16,1015
2,100,1044,463.24,0.09578544061302682,0.9827586206896551,0.0,2052,0,17,1016
2,100,1060,462.98,0.09433962264150944,0.9867924528301887,0.0,2092,0,18,1017
2,100,1016,443.75,0.0984251968503937,0.9921259842519685,0.0,2016,0,19,1018
2,100,996,426.74,0.10040160642570281,0.9864457831325302,0.0,1965,0,20,1019
2,100,961,428.22,0.1040582726326743,0.9932362122788762,0.0,1909,0,21,1020
2,100,990,431.1,0.10101010101010101,0.9959595959595959,0.0,1972,0,22,1021
2,100,1006,426.61,0.09940357852882704,0.981610337972167,0.0,1975,0,23,1022
2,100,961,419.12,0.1040582726326743,1.0,0.0,1922,0,24,1023
2,100,904,391.03,0.11061946902654868,0.9811946902654868,0.0,1774,0,25,1024
2,100,1102,482.5,0.09074410163339383,0.98502722323049,0.0,2171,0,26,1025
2,100,971,439.6,0.10298661174047374,0.9938208032955715,0.0,1930,0,27,1026
2,100,1058,456.41,0.0945179584120983,0.9905482041587902,0.0,2096,0,28,1027
2,100,994,433.77,0.1006036217303823,0.9854124748490946,0.0,1959,0,29,1028
2,100,944,411.76,0.1059322033898305,0.989406779661017,0.0,1868,0,30,1029
2,100,957,380.73,0.1044932079414838,0.9890282131661442,0.0,1893,0,31,1030
2,100,906,386.6,0.11037527593818984,0.9983443708609272,0.0,1809,0,32,1031
2,100,932,400.25,0.1072961373390558,0.9774678111587983,0.0,1822,0,33,1032
2,100,994,415.34,0.1006036217303823,0.9879275653923542,0.0,1964,0,34,1033
2,100,995,432.92,0.10050251256281408,0.9989949748743718,0.0,1988,0,35,1034
2,100,989,422.48,0.10111223458038422,0.9878665318503539,0.0,1954,0,36,1035
2,100,976,442.58,0.10245901639344263,0.9943647540983607,0.0,1941,0,37,1036
2,100,978,416.39,0.10224948875255624,0.995398773006135,0.0,1947,0,38,1037
2,100,1015,439.95,0.09852216748768473,0.9901477832512315,0.0,2010,0,39,1038
2,100,1163,502.55,0.08598452278589853,0.9879621668099742,0.0,2298,0,40,1039
2,100,984,445.18,0.1016260162601626,0.9984756097560976,0.0,1965,0,41,1040
