time,waiting_tasks,completed_tasks,active_robots,blocked_robots
1,92,0,8,0
2,92,0,8,0
3,92,0,8,0
4,92,0,8,0
5,92,0,8,0
6,92,0,8,0
7,92,0,8,0
8,92,0,8,0
9,92,0,8,0
10,92,0,8,0
11,92,0,8,0
12,92,2,6,0
13,90,2,8,0
14,90,2,8,0
15,90,2,8,0
16,90,2,8,0
17,90,3,7,0
18,89,3,8,0
19,89,4,7,0
20,88,4,7,1
21,88,4,7,1
22,88,5,7,0
23,87,7,5,1
24,85,7,7,1
25,85,7,7,1
26,85,8,7,0
27,84,8,8,0
28,84,8,7,1
29,84,9,7,0
30,83,10,7,0
31,82,10,8,0
32,82,11,7,0
33,81,11,8,0
34,81,13,6,0
35,79,14,7,0
36,78,14,8,0
37,78,14,8,0
38,78,15,7,0
39,77,15,8,0
40,77,15,8,0
41,77,16,6,1
42,76,16,8,0
43,76,16,8,0
44,76,16,8,0
45,76,17,7,0
46,75,18,7,0
47,74,19,7,0
48,73,19,8,0
49,73,20,7,0
50,72,21,7,0
51,71,21,8,0
52,71,21,8,0
53,71,22,7,0
54,70,23,7,0
55,69,23,8,0
56,69,24,7,0
57,68,24,7,1
58,68,25,7,0
59,67,25,8,0
60,67,25,8,0
61,67,25,8,0
62,67,25,8,0
63,67,25,8,0
64,67,27,5,1
65,65,28,7,0
66,64,29,5,2
67,63,29,7,1
68,63,29,6,2
69,63,29,7,1
70,63,30,7,0
71,62,31,7,0
72,61,32,6,1
73,60,33,7,0
74,59,33,5,3
75,59,33,7,1
76,59,34,7,0
77,58,35,7,0
78,57,35,8,0
79,57,35,8,0
80,57,35,8,0
81,57,35,8,0
82,57,35,8,0
83,57,36,7,0
84,56,36,8,0
85,56,36,8,0
86,56,38,6,0
87,54,38,6,2
88,54,39,7,0
89,53,40,7,0
90,52,41,7,0
91,51,41,8,0
92,51,41,8,0
93,51,41,8,0
94,51,41,8,0
95,51,42,7,0
96,50,42,8,0
97,50,43,7,0
98,49,43,8,0
99,49,43,8,0
100,49,43,8,0
101,49,43,8,0
102,49,44,7,0
103,48,45,7,0
104,47,45,8,0
105,47,46,7,0
106,46,46,8,0
107,46,47,7,0
108,45,47,8,0
109,45,48,7,0
110,44,48,8,0
111,44,49,7,0
112,43,49,8,0
113,43,49,8,0
114,43,50,7,0
115,42,50,8,0
116,42,51,7,0
117,41,51,8,0
118,41,52,7,0
119,40,52,8,0
120,40,54,6,0
121,38,54,8,0
122,38,54,8,0
123,38,54,8,0
124,38,54,8,0
125,38,54,8,0
126,38,54,8,0
127,38,54,7,1
128,38,54,8,0
129,38,54,8,0
130,38,55,6,1
131,37,55,7,1
132,37,55,8,0
133,37,56,7,0
134,36,58,4,2
135,34,59,7,0
136,33,60,7,0
137,32,60,8,0
138,32,61,7,0
139,31,61,8,0
140,31,61,8,0
141,31,61,8,0
142,31,61,8,0
143,31,61,8,0
144,31,61,8,0
145,31,62,7,0
146,30,62,8,0
147,30,62,8,0
148,30,62,8,0
149,30,62,8,0
150,30,62,8,0
151,30,62,7,1
152,30,62,8,0
153,30,63,7,0
154,29,64,7,0
155,28,64,8,0
156,28,64,8,0
157,28,65,6,1
158,27,66,7,0
159,26,67,7,0
160,25,67,8,0
161,25,67,8,0
162,25,67,8,0
163,25,67,8,0
164,25,67,8,0
165,25,67,8,0
166,25,68,7,0
167,24,68,7,1
168,24,68,8,0
169,24,69,7,0
170,23,71,6,0
171,21,72,7,0
172,20,72,8,0
173,20,72,8,0
174,20,72,8,0
175,20,72,8,0
176,20,72,8,0
177,20,72,8,0
178,20,72,8,0
179,20,73,7,0
180,19,73,7,1
181,19,73,8,0
182,19,73,8,0
183,19,73,8,0
184,19,73,8,0
185,19,73,8,0
186,19,74,7,0
187,18,75,7,0
188,17,75,8,0
189,17,75,8,0
190,17,75,8,0
191,17,75,8,0
192,17,75,8,0
193,17,75,8,0
194,17,75,8,0
195,17,75,8,0
196,17,77,5,1
197,15,78,7,0
198,14,78,8,0
199,14,78,8,0
200,14,78,8,0
201,14,79,7,0
202,13,79,8,0
203,13,79,8,0
204,13,79,8,0
205,13,80,7,0
206,12,80,8,0
207,12,80,8,0
208,12,80,8,0
209,12,80,8,0
210,12,80,8,0
211,12,81,7,0
212,11,82,7,0
213,10,82,8,0
214,10,82,8,0
215,10,82,8,0
216,10,83,7,0
217,9,83,8,0
218,9,83,8,0
219,9,83,8,0
220,9,83,8,0
221,9,83,8,0
222,9,83,8,0
223,9,83,8,0
224,9,83,8,0
225,9,85,6,0
226,7,86,7,0
227,6,86,8,0
228,6,86,8,0
229,6,86,8,0
230,6,86,8,0
231,6,86,8,0
232,6,87,7,0
233,5,87,8,0
234,5,88,7,0
235,4,88,8,0
236,4,89,7,0
237,3,89,8,0
238,3,89,8,0
239,3,89,8,0
240,3,89,8,0
241,3,89,8,0
242,3,89,8,0
243,3,90,7,0
244,2,90,8,0
245,2,90,8,0
246,2,90,8,0
247,2,90,8,0
248,2,90,8,0
249,2,91,7,0
250,1,91,8,0
251,1,93,6,0
252,0,93,7,0
253,0,93,7,0
254,0,93,7,0
255,0,94,6,0
256,0,94,6,0
257,0,94,6,0
258,0,94,6,0
259,0,94,6,0
260,0,94,6,0
261,0,94,6,0
262,0,94,6,0
263,0,94,6,0
264,0,94,6,0
265,0,95,5,0
266,0,95,5,0
267,0,95,5,0
268,0,95,5,0
269,0,96,4,0
270,0,96,4,0
271,0,96,4,0
272,0,96,4,0
273,0,96,4,0
274,0,96,4,0
275,0,96,4,0
276,0,96,4,0
277,0,97,3,0
278,0,97,3,0
279,0,97,3,0
280,0,98,2,0
281,0,98,2,0
282,0,98,2,0
283,0,99,1,0
284,0,99,1,0
285,0,99,1,0
286,0,99,1,0
287,0,99,1,0
288,0,99,1,0
289,0,100,0,0
